inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
adalimumab,HYRIMOZ,HYRIMOZ,Sandoz Inc,FDA,SC,prefilled_syringe,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,NCT05502731,Phase 4
adalimumab,HYRIMOZ,HYRIMOZ,Sandoz Inc,FDA,SC,prefilled_syringe,biosimilar,40 mg/0.4 mL,40.0,0.4,100.0,liquid,0,NCT05502731,Phase 4
adalimumab,HYRIMOZ,HYRIMOZ,Cordavis Limited,FDA,SC,prefilled_syringe,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,NCT05502731,Phase 4
adalimumab,HADLIMA,HADLIMA,Organon LLC,FDA,SC,autoinjector,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,UNKNOWN,Approved
adalimumab,YUSIMRY,YUSIMRY,Meitheal Pharmaceuticals Inc.,FDA,SC,prefilled_syringe,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,UNKNOWN,Approved
adalimumab,HADLIMA,HADLIMA,A-S Medication Solutions,FDA,SC,solution,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,UNKNOWN,Approved
adalimumab,AMJEVITA,AMJEVITA,"Amgen, Inc",FDA,SC,prefilled_syringe,biosimilar,40 mg/0.8 mL,40.0,0.8,50.0,liquid,0,NCT02114931,Phase 3
adalimumab,AMJEVITA,AMJEVITA,Amgen USA Inc.,FDA,SC,prefilled_syringe,biosimilar,"80 mg/0.8 mL, 40 mg/0.8 mL, 40 mg/0.4 mL, 20 mg/0.4 mL, 20 mg/0.2 mL, 10 mg/0.2 mL",80.0,0.8,100.0,liquid,0,NCT02114931,Phase 3
adalimumab,AMJEVITA,AMJEVITA,Amgen USA Inc.,FDA,SC,prefilled_syringe,biosimilar,"80 mg/0.8 mL, 40 mg/0.8 mL, 40 mg/0.4 mL, 20 mg/0.4 mL, 20 mg/0.2 mL, 10 mg/0.2 mL",40.0,0.8,50.0,liquid,1,NCT02114931,Phase 3
adalimumab,AMJEVITA,AMJEVITA,Amgen USA Inc.,FDA,SC,prefilled_syringe,biosimilar,"80 mg/0.8 mL, 40 mg/0.8 mL, 40 mg/0.4 mL, 20 mg/0.4 mL, 20 mg/0.2 mL, 10 mg/0.2 mL",40.0,0.4,100.0,liquid,2,NCT02114931,Phase 3
