inn,ch1_isotype,lc_type,highest_clin_trial,est_status,target_antigen,origin,has_fda_approved,has_ema_approved,has_iv_sc_product,n_biosimilars
abagovomab,G1,Kappa,Phase-III,Discontinued,MUC16/CA125,Murine,False,False,False,0
abazistobart,G4,Kappa,TBC,TBC,PDCD1/CD279/PD1,Chimeric and Humanised,False,False,False,0
abelacimab,G1,Lambda,Phase-III,Active,F11,Genetically human,False,False,False,0
abiprubart,G4,Kappa,Phase-II,Active,TNFRSF5/CD40,Humanised,False,False,False,0
abituzumab,G2,Kappa,Phase-II,Active,ITGAV/CD51,Humanised,False,False,False,0
abrilumab,G2,Kappa,Phase-II,Discontinued,ITGA4B7,Genetically human,False,False,False,0
acrixolimab,G4,Kappa,Phase-I/II,Active,PDCD1/CD279/PD1,Genetically human,False,False,False,0
actoxumab,G1,Kappa,Phase-III,Discontinued,Clostridium difficile Toxin A,Genetically human,False,False,False,0
adakitug,G1,Kappa,Phase-II,Active,CXCL8,Genetically human,False,False,False,0
adalimumab,G1,Kappa,Approved,Active,TNF/TNFA,Genetically human,True,True,False,19
adebrelimab,G4,Kappa,Approved,Active,PDL1/CD274,Chimeric and/or humanised,False,False,False,0
adecatumumab,G1,Kappa,Phase-II,Discontinued,EPCAM/CD326,Genetically human,False,False,False,0
adezkibart,G1,Lambda,TBC,TBC,FLT3LG,Genetically human,False,False,False,0
adimanebart,G1,Lambda,TBC,TBC,MUSK,Humanised,False,False,False,0
adintrevimab,G1,Lambda,Phase-II/III,Active,SARS-CoV-2 Spike,Genetically human,False,False,False,0
aducanumab,G1,Kappa,Approved,NFD,APP,Genetically human,False,False,False,0
afasevikumab,G1,Kappa,Phase-I,Discontinued,IL17A,Genetically human,False,False,False,0
afimkibart,G1,Kappa,Phase-III,Active,TNFSF15/TL1A/VEGI,Genetically human,False,False,False,0
alcestobart,G4,Lambda,Phase-II,Active,LAG3/CD223,Genetically human,False,False,False,0
aldastotug,G1,Kappa,Phase-I,Active,SIGLEC15/CD33L3,Genetically human,False,False,False,0
alemtuzumab,G1,Kappa,Approved,Active,CD52,Humanised,True,True,False,2
aletekitug,G1,Kappa,Phase-II,Active,IL18,Humanised,False,False,False,0
alextatug,G1,Lambda,Phase-I,Discontinued,RNP complex containing PABPC1,Genetically human,False,False,False,0
alirocumab,G1,Kappa,Approved,Active,PCSK9,Genetically human,True,True,False,0
alomfilimab,G1,Kappa,Phase-II,Discontinued,ICOS/CD278,Genetically human,False,False,False,0
alpitatug,G1,Kappa,TBC,Active,KLK2/KLK2A2/hGK-1/hK2,Humanised,False,False,False,0
alsevalimab,G1,Kappa,Phase-I,Discontinued,VTCN1/B7H4,Genetically human,False,False,False,0
amatuximab,G1,Kappa,Phase-II,Discontinued,MSLN,Chimeric,False,False,False,0
amdokitug,G1,Kappa,TBC,TBC,IL17A,Chimeric and/or humanised,False,False,False,0
amlenetug,G1,Kappa,Phase-III,Active,SNCA/PARK1/PARK4,Genetically human,False,False,False,0
amlitelimab,G4,Kappa,Phase-III,Active,TNFSF4/CD134/CD252/OX40L,Genetically human,False,False,False,0
amrecibart,G4,Kappa,TBC,TBC,F11,Genetically human,False,False,False,0
amubarvimab,G1,Kappa,Phase-II/III,Discontinued,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
andecaliximab,G4,Kappa,Phase-III,Discontinued,MMP9/GELB,Chimeric,False,False,False,0
anifrolumab,G1,Kappa,Approved,Active,IFNAR1,Genetically human,True,True,True,0
anrukinzumab,G1,Kappa,Phase-II,Discontinued,IL13,Humanised,False,False,False,0
anselamimab,G1,Kappa,Phase-III,Active,Light Chain Amyloid Fibrils,Chimeric,False,False,False,0
ansipastobart,G1,Lambda,Phase-I,Active,NT5E/CALJA/CD73,Genetically human,False,False,False,0
ansuvimab,G1,Kappa,Approved,Active,Zaire Ebolavirus Glycoprotein,Genetically human,True,False,False,0
anumigilimab,G4,Kappa,Phase-I,Discontinued,CSF3R/CD114,Genetically human,False,False,False,0
anzurstobart,G1,Kappa,Phase-I,Active,SIRPA,Genetically human,False,False,False,0
apitegromab,G4,Lambda,Preregistration,Active,pro-MSTN/GDF8/GDF-8/pro-GDF8,Genetically human,False,False,False,0
arcitumomab,G1,Kappa,Approved (w),NFD,CEA/CEACAM,Murine,False,False,False,0
armocibart,G4,Kappa,TBC,Active,TFPI,Chimeric and/or humanised,False,False,False,0
ascrinvacumab,G2,Kappa,Phase-II,Discontinued,ACVRL1/SKR3,Genetically human,False,False,False,0
aselizumab,G4,Kappa,Phase-II,Discontinued,L-Selectin,Humanised,False,False,False,0
astegolimab,G2,Kappa,Phase-III,Active,IL1RL1/ST2,Genetically human,False,False,False,0
atenastobart,G1,Lambda,Phase-I,Active,TNFRSF9/CD137/4-1BB,Genetically human,False,False,False,0
atezolizumab,G1,Kappa,Approved,Active,PDL1/CD274,Humanised,True,True,False,1
atibuclimab,G4,Kappa,Phase-II,Active,CD14,Chimeric,False,False,False,0
atidortoxumab,G1,Kappa,Phase-II,Discontinued,Staphylococcus aureus Toxin A,Genetically human,False,False,False,0
atigotatug,G1,Kappa,Phase-III,Active,Fucosyl-GM1,Genetically human,False,False,False,0
atinumab,G4,Kappa,Phase-I,Discontinued,RTN4/Nogo,Genetically human,False,False,False,0
atisnolerbart,G4,Kappa,Phase-III,Active,Bet v 1,Genetically human,False,False,False,0
atoltivimab,G1,Kappa,Phase-I,Discontinued,Zaire Ebolavirus Glycoprotein,Genetically human,True,False,False,0
avdoralimab,G1,Kappa,Phase-II,Discontinued,C5AR1/CD88,Genetically human,False,False,False,0
avelumab,G1,Lambda,Approved,Active,PDL1/CD274,Genetically human,True,True,False,0
avitotamig,G1,Kappa,TBC,Active,SIGLEC3/CD33/p67,Humanised,False,False,False,0
avizakimab,G1,Kappa,Phase-I/II,Active,IL21,Humanised,False,False,False,0
axatilimab,G4,Kappa,Preregistration,Active,CSF1R/CD115/M-CSFR,Humanised,True,False,False,0
azirkitug,G1,Kappa,Phase-I,Discontinued,CCR8/CKR-L1/CDw198,Humanised,False,False,False,0
balertatug,G1,Kappa,TBC,TBC,CD70,Chimeric and/or humanised,False,False,False,0
balonkibart,G4,Kappa,TBC,TBC,NPR1/ANPRA/ANPa/GUC2A/GUCY2A/NPRA,Genetically human,False,False,False,0
balstilimab,G4,Kappa,Phase-III,Active,PDCD1/CD279/PD1,Genetically human,False,False,False,0
bamlanivimab,G1,Kappa,Approved,Active,SARS-CoV-2 Spike,Genetically human,False,False,False,0
bapineuzumab,G1,Kappa,Phase-II,Discontinued,APP,Humanised,False,False,False,0
bapotulimab,G2,Kappa,Phase-I,Active,ILDR2,Genetically human,False,False,False,0
barecetamab,G1,Lambda,Phase-I,Discontinued,ERBB3/HER3,Genetically human,False,False,False,0
barzolvolimab,G1,Kappa,Phase-III,Active,KIT/CD117,Chimeric and/or humanised,False,False,False,0
basiliximab,G1,Kappa,Approved,NFD,IL2RA/CD25,Chimeric,True,True,False,0
batoclimab,G1,Lambda,Preregistration,Active,FCGRT/FcRn,Genetically human,False,False,False,0
bavituximab,G1,Kappa,Phase-III,Active,Phosphatidylserine,Chimeric,False,False,False,0
bebtelovimab,G1,Lambda,Approved,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
becotatug,G1,Kappa,Phase-III,Active,EGFR/ERBB1/HER1,Humanised,False,False,False,0
befovacimab,G2,Lambda,Phase-II,Active,TFPI,Genetically human,False,False,False,0
begelomab,G2b,Kappa,Phase-II/III,Active,DPP4/ADCP2/CD26,Murine,False,False,False,0
belimumab,G1,Lambda,Approved,Active,TNFSF13B/CD257/BAFF,Genetically human,True,True,True,0
belrestotug,G1,Kappa,Phase-III,Active,TIGIT/WUCAM/VSTM3,Genetically human,False,False,False,0
beludavimab,G1,Kappa,Phase-II,Discontinued,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
bemarituzumab,G1,Kappa,Phase-III,Active,FGFR2/CD332,Humanised,False,False,False,0
bempikibart,G1,Kappa,Phase-II,Active,IL7R/CD127,Genetically human,False,False,False,0
benmelstobart,G1,Kappa,Approved,Active,PDL1/CD274,Humanised,False,False,False,0
benralizumab,G1,Kappa,Approved,Active,IL5RA/CD125,Humanised,True,True,False,0
bentracimab,G1,Lambda,Phase-III,Active,AR-C124910XX,Genetically human,False,False,False,0
benufutamab,G1,Kappa,Phase-I/II,Active,TNFRSF10B/CD262/DR5/TRAILR2,Chimeric,False,False,False,0
bepranemab,G4,Kappa,Phase-II,Active,MAPT,Humanised,False,False,False,0
berlimatoxumab,G1,Kappa,Phase-II,Discontinued,Staphylococcus aureus Toxin A,Genetically human,False,False,False,0
bermekimab,G1,Kappa,Preregistration (w),Active,IL1A,Genetically human,False,False,False,0
bersanlimab,G1,Lambda,Phase-II,Discontinued,ICAM1/CD54,Genetically human,False,False,False,0
betinukibart,G1,Kappa,Phase-III,Active,IL17A,Humanised,False,False,False,0
betifisolimab,G1,Kappa,Phase-I/II,Active,PDL1/CD274,Chimeric and/or humanised,False,False,False,0
bevacizumab,G1,Kappa,Approved,Active,VEGFA,Humanised,True,True,False,13
bexmarilimab,G4,Kappa,Phase-I/II,Active,STAB1,Humanised,False,False,False,0
bezlotoxumab,G1,Kappa,Approved,NFD,Clostridium difficile Toxin A,Genetically human,True,True,False,0
bimagrumab,G1,Lambda,Phase-II,Active,ACVR2B,Genetically human,False,False,False,0
